iter	Passed	Remaining
0	144	144088
1	146	73340
2	150	49852
3	153	38108
4	156	31069
5	159	26472
6	163	23123
7	166	20658
8	169	18688
9	172	17068
10	175	15777
11	178	14689
12	181	13794
13	184	13004
14	187	12318
15	190	11702
16	193	11190
17	197	10748
18	200	10330
19	203	9958
20	207	9656
21	210	9346
22	213	9068
23	216	8807
24	220	8581
25	223	8355
26	226	8148
27	229	7959
28	232	7781
29	235	7609
30	238	7441
31	240	7289
32	243	7149
33	246	7014
34	250	6901
35	253	6781
36	256	6675
37	259	6577
38	262	6479
39	265	6376
40	268	6278
41	271	6202
42	275	6122
43	278	6045
44	281	5965
45	284	5891
46	286	5813
47	289	5744
48	292	5682
49	296	5625
50	299	5570
51	302	5510
52	305	5458
53	308	5402
54	311	5347
55	314	5297
56	318	5262
57	322	5240
58	326	5203
59	329	5159
60	332	5117
61	335	5078
62	339	5056
63	343	5020
64	346	4978
65	349	4940
66	352	4905
67	354	4852
68	356	4816
69	360	4783
70	364	4763
71	367	4735
72	370	4702
73	373	4670
74	376	4640
75	379	4615
76	382	4586
77	386	4565
78	389	4537
79	392	4515
80	395	4489
81	398	4462
82	401	4438
83	404	4409
84	406	4379
85	410	4362
86	412	4328
87	415	4305
88	418	4281
89	421	4258
90	424	4238
91	427	4216
92	431	4203
93	434	4184
94	437	4164
95	440	4143
96	443	4125
97	446	4106
98	449	4091
99	453	4077
100	456	4059
101	457	4029
102	460	4013
103	463	3994
104	466	3976
105	469	3959
106	472	3940
107	475	3925
108	478	3908
109	481	3895
110	484	3877
111	487	3863
112	490	3850
113	493	3834
114	496	3817
115	498	3800
116	501	3786
117	504	3769
118	506	3750
119	509	3733
120	511	3717
121	514	3703
122	516	3679
123	519	3667
124	522	3654
125	525	3642
126	528	3631
127	530	3610
128	532	3597
129	535	3583
130	538	3569
131	540	3556
132	543	3544
133	546	3533
134	549	3522
135	552	3509
136	555	3497
137	557	3481
138	560	3471
139	563	3462
140	566	3450
141	569	3438
142	571	3426
143	574	3416
144	577	3404
145	580	3393
146	583	3383
147	586	3374
148	589	3367
149	592	3358
150	595	3347
151	598	3337
152	600	3326
153	603	3317
154	606	3308
155	610	3300
156	612	3291
157	615	3280
158	618	3270
159	621	3260
160	624	3251
161	626	3242
162	629	3233
163	633	3227
164	635	3218
165	638	3209
166	641	3200
167	644	3190
168	647	3185
169	650	3176
170	654	3172
171	657	3163
172	660	3155
173	663	3148
174	665	3139
175	669	3132
176	671	3123
177	674	3114
178	677	3109
179	680	3099
